epoch(ms),Gyr1 X (deg/s),Gyr1 Y (deg/s),Gyr1 Z (deg/s),Acc1 X (g),Acc1 Y (g),Acc1 Z (g),Gyr2 X (deg/s),Gyr2 Y (deg/s),Gyr2 Z (deg/s),Acc2 X (g),Acc2 Y (g),Acc2 Z (g),Gyr3 X (deg/s),Gyr3 Y (deg/s),Gyr3 Z (deg/s),Acc3 X (g),Acc3 Y (g),Acc3 Z (g),Gyr4 X (deg/s),Gyr4 Y (deg/s),Gyr4 Z (deg/s),Acc4 X (g),Acc4 Y (g),Acc4 Z (g),Gyr5 X (deg/s),Gyr5 Y (deg/s),Gyr5 Z (deg/s),Acc5 X (g),Acc5 Y (g),Acc5 Z (g),Gyr6 X (deg/s),Gyr6 Y (deg/s),Gyr6 Z (deg/s),Acc6 X (g),Acc6 Y (g),Acc6 Z (g),Gyr7 X (deg/s),Gyr7 Y (deg/s),Gyr7 Z (deg/s),Acc7 X (g),Acc7 Y (g),Acc7 Z (g),Gyr8 X (deg/s),Gyr8 Y (deg/s),Gyr8 Z (deg/s),Acc8 X (g),Acc8 Y (g),Acc8 Z (g),Gyr9 X (deg/s),Gyr9 Y (deg/s),Gyr9 Z (deg/s),Acc9 X (g),Acc9 Y (g),Acc9 Z (g),Gyr10 X (deg/s),Gyr10 Y (deg/s),Gyr10 Z (deg/s),Acc10 X (g),Acc10 Y (g),Acc10 Z (g),Position X,Position Y,Position Z,Last8epoch,
1561095178459,0.671,0.122,-0.183,0.053,1.033,0.092,1.0248,-0.28059999999999996,-1.5423,-0.0226,-0.9797,-0.0213,0.4636,3.7564,0.5856,-0.13,0.9476,-0.0076,2.2926,1.8294000000000001,2.0852,-0.0688,0.9756,-0.1646,7.8051,-2.5731,-0.6039,-0.11520000000000001,0.9076000000000001,0.024200000000000003,0.024399999999999998,-0.1586,0.0366,-0.0418,-1.001,-0.168,0.061,-0.0854,-0.1708,0.0284,0.9568,-0.10439999999999999,-0.4769090909090909,-3.2483636363636363,-0.244,0.08372727272727273,-0.9535454545454545,-0.19190909090909092,-0.061,-1.585,-0.122,0.015,-1.013,-0.094,0.0793,-1.5545,-0.4392,0.1253,1.0001,-0.049100000000000005,-0.5795193,0.0767256,-0.2842455,95178459,
1561095178469,0.915,0.061,-0.122,0.0538,1.0302,0.0942,1.0919,0.14029999999999998,-1.4691,-0.0203,-0.9809,-0.0292,0.28059999999999996,3.0856000000000003,0.6588,-0.1342,0.9496,-0.008,2.1096,0.5368,1.4756,-0.0704,0.9796,-0.1686,5.8175,-3.6946999999999997,0.0671,-0.1085,0.9127000000000001,0.015700000000000002,0.0366,-0.2196,0.09759999999999999,-0.041,-1.0004,-0.1668,0.061,-0.183,-0.122,0.025777777777777778,0.9557777777777777,-0.102,-0.480375,-2.4085,-0.13724999999999998,0.079625,-0.952125,-0.193,-0.366,-1.768,0.30499999999999994,0.017,-1.019,-0.099,0.23845454545454545,-1.2690000000000001,-0.549,0.128,1.0009090909090907,-0.049818181818181824,-0.5795415821917808,0.07672288602739727,-0.28419609452054795,95178469,
1561095178478,0.915,0.122,-0.183,0.052,1.023,0.096,1.098,0.427,-1.5118,-0.0224,-0.9793999999999999,-0.0348,0.08872727272727274,2.1894545454545455,0.7486363636363637,-0.13563636363636364,0.9525454545454545,-0.009909090909090909,1.6889999999999998,-0.7805,1.1651,-0.06889999999999999,0.9841,-0.17040000000000002,2.7439999999999998,-2.927,0.671,-0.113,0.91,0.004,0.08872727272727272,-0.21627272727272728,0.09427272727272727,-0.03918181818181818,-1.0004545454545455,-0.16690909090909092,0.061,-0.2074,-0.122,0.0256,0.9551999999999999,-0.1022,-0.488,-2.0064545454545453,-0.122,0.07827272727272727,-0.9534545454545454,-0.19081818181818183,-0.4658181818181818,-1.7180909090909091,0.2550909090909091,0.018636363636363635,-1.023090909090909,-0.099,0.18854545454545454,-1.17,-0.549,0.128,1.0000909090909091,-0.04818181818181818,-0.5795750054794521,0.07671881506849315,-0.28412198630136987,95178478,
1561095178488,0.732,0.366,-0.366,0.052,1.021,0.098,1.0536363636363637,0.31054545454545457,-1.5683636363636364,-0.02590909090909091,-0.9768181818181818,-0.036727272727272726,-0.10979999999999998,0.9634,0.8662000000000001,-0.136,0.9533999999999999,-0.011,1.0536363636363637,-2.039727272727273,1.0536363636363637,-0.06290909090909091,0.9900909090909091,-0.16818181818181818,2.744,-2.2615454545454545,0.9482727272727273,-0.11572727272727273,0.91,0.009454545454545455,0.122,-0.2074,0.0854,-0.0382,-1.0017999999999998,-0.1676,0.0854,-0.3416,-0.122,0.0284,0.956,-0.1026,-0.10370000000000001,-1.0794,0.006099999999999994,0.0815,-0.9561,-0.1963,-0.4392,-1.2198000000000002,0.0,0.0222,-1.0264,-0.095,0.1281,-0.9943,-0.549,0.128,0.9982,-0.050699999999999995,-0.5796121424657534,0.07671429178082192,-0.2840396438356164,95178488,
1561095178499,0.427,0.244,-0.61,0.053,1.024,0.1,0.9882,0.244,-1.5362,-0.023,-0.9783999999999999,-0.0346,-0.183,-0.2989,1.0004,-0.1346,0.9516,-0.0075,0.4636,-2.2377000000000002,1.1346,-0.0594,0.9921,-0.16540000000000002,2.256,-1.951,0.915,-0.111,0.91,0.012,0.1525,-0.183,0.1525,-0.0405,-1.0025,-0.1675,0.2196,-0.488,-0.122,0.0297,0.9551,-0.1019,0.5490000000000002,0.732,0.1098,0.083,-0.9546,-0.2006,-0.042700000000000016,-0.1097999999999999,-0.3355,0.0275,-1.0279,-0.0922,0.0427,-0.9089,-0.3599,0.1298,1.0003,-0.0528,-0.579652993150685,0.07670931616438356,-0.28394906712328766,95178499,
1561095178509,0.0,0.061,-0.61,0.051,1.029,0.098,0.8784,0.2928,-1.3776,-0.022,-0.9773999999999999,-0.0316,-0.26839999999999997,-0.9943,1.1224,-0.1312,0.9496,-0.0032,-0.040666666666666657,-1.5446666666666666,1.22,-0.057,0.989,-0.16266666666666668,0.915,-1.463,0.732,-0.107,0.901,0.004999999999999999,0.183,-0.122,0.2135,-0.041999999999999996,-1.001,-0.1695,0.2883636363636364,-0.488,-0.18854545454545454,0.02872727272727273,0.9535454545454545,-0.10427272727272727,0.427,1.9756,-0.07319999999999999,0.083,-0.9523999999999999,-0.193,0.6588,1.2617999999999998,-0.4209,0.0271,-1.0252999999999999,-0.08929999999999999,-0.13419999999999999,-0.8235,-0.2989,0.1281,1.0030999999999999,-0.0506,-0.5796901301369863,0.07670479287671232,-0.28386672465753426,95178509,
1561095178519,-0.61,-0.061,-0.549,0.05,1.028,0.096,0.6100000000000001,0.2074,-1.2442,-0.0252,-0.9746,-0.027,-0.305,-1.0037272727272728,1.197818181818182,-0.1280909090909091,0.9477272727272726,-9.090909090909093e-05,-0.488,-0.8784000000000001,1.3416,-0.0542,0.9858,-0.1592,0.42699999999999994,-1.037,0.30500000000000005,-0.108,0.898,0.005,0.15527272727272728,-0.1497272727272727,0.244,-0.04209090909090909,-1.0,-0.16963636363636364,0.244,-0.50325,-0.366,0.02825,0.9555,-0.10425,0.49909090909090914,2.239363636363636,-0.2550909090909091,0.08372727272727273,-0.9534545454545454,-0.18518181818181817,1.2302727272727272,2.0508181818181814,-0.427,0.025363636363636366,-1.0233636363636363,-0.09063636363636364,-0.244,-0.5063000000000001,-0.2318,0.1286,1.0037,-0.0469,-0.5797272671232877,0.0767002695890411,-0.2837843821917808,95178519,
1561095178528,-0.671,-0.183,-0.549,0.05,1.028,0.097,0.45411111111111113,0.13555555555555554,-1.0302222222222222,-0.02288888888888889,-0.9724444444444444,-0.025222222222222222,-0.39649999999999996,-0.5795,1.159,-0.1275,0.946,-0.0005,-0.671,-0.38430000000000003,1.4874,-0.0536,0.9828,-0.1571,0.926090909090909,-0.488,0.05545454545454545,-0.10636363636363635,0.8996363636363637,0.011545454545454546,0.1403,-0.2379,0.22569999999999998,-0.0413,-1.0003,-0.16770000000000002,0.2939090909090909,-0.5323636363636364,-0.366,0.029,0.9567272727272726,-0.10172727272727272,0.549,2.5305,-0.305,0.0825,-0.954,-0.189,1.3837,1.9387999999999999,-0.3843,0.025,-1.0223,-0.0896,-0.244,-0.122,-0.122,0.125,1.001,-0.046,-0.5797606904109589,0.07669619863013698,-0.28371027397260273,95178528,
1561095178538,-0.305,0.122,-0.366,0.05,1.03,0.094,0.427,0.07763636363636364,-0.7985454545454546,-0.019818181818181818,-0.9705454545454545,-0.02209090909090909,-0.6574444444444445,0.09488888888888886,1.064111111111111,-0.12855555555555556,0.945,-0.004222222222222223,-0.5246,0.0732,1.2376,-0.0547,0.9797,-0.1556,1.329,0.122,-0.244,-0.1052,0.9016000000000001,0.0154,0.20333333333333334,-0.366,0.20333333333333334,-0.042,-1.0013333333333332,-0.167,0.4392,-0.4636,-0.39039999999999997,0.028800000000000003,0.9558,-0.1012,0.3271818181818182,2.7107272727272727,-0.21627272727272728,0.07618181818181818,-0.9547272727272726,-0.19172727272727272,1.0706666666666667,1.023222222222222,-0.6032222222222222,0.023444444444444445,-1.0173333333333334,-0.08744444444444444,0.14418181818181813,0.26618181818181813,-0.17745454545454545,0.12136363636363635,1.001,-0.04690909090909091,-0.5798011853211009,0.07669446275229358,-0.28363128073394495,95178538,
1561095178548,0.183,0.61,-0.183,0.051,1.03,0.093,0.4697,-0.024400000000000005,-0.7747,-0.0169,-0.9692999999999999,-0.0189,-0.8296,0.5124,0.9271999999999999,-0.1326,0.9456,-0.0102,-0.08318181818181819,0.1441818181818182,0.7042727272727273,-0.054,0.9787272727272727,-0.15618181818181817,1.0124,0.5367999999999999,-0.5002,-0.105,0.9068,0.0152,0.244,-0.366,0.2196,-0.0424,-1.0004,-0.16740000000000002,0.5124,-0.3416,-0.488,0.0274,0.9551999999999999,-0.10239999999999999,0.1586,2.1462,-0.09759999999999999,0.07189999999999999,-0.9542999999999999,-0.1892,0.488,-0.13419999999999999,-0.915,0.0174,-1.0144,-0.091,0.5124,0.6344000000000001,-0.29279999999999995,0.1192,1.001,-0.0479,-0.5798551119266055,0.07670387651376147,-0.28356568440366975,95178548,
